Post-molt,Pre-molt,Location
147.3,130.4,Lab
138.4,120.8,Lab
136.9,119.2,Lab
146.6,132.3,Lab
124.5,106.3,Lab
144.1,125.7,Lab
124.4,107.6,Lab
142.2,128.5,Lab
134.1,119.5,Lab
133.8,116.2,Lab
127.8,112.3,Lab
132.3,115.6,Lab
135.6,119,Lab
130.3,113.6,Lab
128.7,111.6,Lab
118.8,112.7,Lab
133.4,117.5,Lab
151.6,136.3,Lab
140.6,125.2,Lab
144.6,128.9,Lab
147.7,132,Lab
154.8,140.4,Lab
139.1,121.6,Lab
124.2,108.6,Lab
129.5,111.8,Lab
123.7,107.2,Lab
130.6,115.9,Lab
134.7,121.4,Lab
153.9,137.4,Lab
148.4,133.7,Lab
130.1,115.7,Lab
135.8,122.2,Lab
140.3,126.2,Lab
138.7,125.5,Lab
140.6,128.3,Lab
127.6,112.9,Lab
127.7,110.8,Lab
127.5,111,Lab
138.3,125.3,Lab
127.3,110.9,Lab
151.5,137.7,Lab
140.5,126.6,Lab
128.5,112,Lab
145.9,130.5,Lab
135.5,119.6,Lab
125.4,108.8,Lab
146.3,132.9,Lab
144.5,126,Lab
148.8,130.8,Lab
127.8,111.9,Lab
137.7,120.7,Lab
149.6,135.7,Lab
128,112.6,Lab
141.8,123.1,Lab
138.5,121,Lab
136.1,119.9,Lab
130.1,113.6,Lab
139.2,122.7,Lab
153.4,140,Lab
141.6,125.5,Lab
138.6,122.1,Lab
153,140.7,Lab
139.8,127,Lab
140.8,127.6,Lab
138,122.6,Lab
146.7,135,Lab
135.9,119.4,Lab
144.4,130.4,Lab
138.5,125,Lab
125.3,108.9,Lab
131.9,114.8,Lab
134.3,121.6,Lab
147.8,134.8,Lab
147.7,133.9,Lab
144.2,128.1,Lab
132,115.3,Lab
136.1,120.9,Lab
148.1,130.2,Lab
147.5,132.7,Lab
122.4,108,Lab
147.7,133.9,Lab
144.2,128.1,Lab
132,115.3,Lab
136.1,120.9,Lab
148.1,130.2,Lab
147.5,132.7,Lab
122.4,108,Lab
135.8,118.7,Lab
135.2,120,Lab
126.5,109.1,Lab
140.3,124.1,Lab
145.8,133.2,Lab
152.1,139.6,Lab
147,133.9,Lab
150.4,137.2,Lab
155.7,143.1,Lab
140.5,128.8,Lab
139.3,121.7,Lab
131.5,116.3,Lab
142.7,130.1,Lab
158.2,146.4,Lab
135.8,118.9,Lab
147.2,132.9,Lab
150,135.2,Lab
148.2,135,Lab
139.8,125.4,Lab
143.7,126.7,Lab
141.3,125,Lab
147.2,133.2,Lab
139.7,124.3,Lab
130.3,115.3,Lab
149.3,136.8,Lab
150.4,137.6,Lab
160,147.5,Lab
161.6,147.5,Lab
149.3,136,Lab
129.2,113.3,Lab
142.7,126.3,Lab
143.6,129.6,Lab
132,116.3,Lab
133.2,116.6,Lab
137.8,120.9,Lab
145.4,131,Lab
150.8,136.5,Lab
147.2,133.3,Lab
143.7,132,Lab
144.7,131.4,Lab
148.1,135.8,Lab
135.4,118.6,Lab
145.8,129.8,Lab
154.2,141.2,Lab
144.3,132,Lab
133.7,118.7,Lab
155.4,141.5,Lab
142.4,130.7,Lab
149.5,137.7,Lab
157.1,143,Lab
147.6,134.7,Lab
143.5,131.2,Lab
138.9,125.9,Lab
157,144.8,Lab
140.8,128.5,Lab
156.4,143.4,Lab
153.1,141.7,Lab
152.3,139.2,Lab
130.5,115.8,Lab
149.8,137.2,Lab
142.3,131,Lab
153.4,141.9,Lab
147.9,133.4,Lab
149.9,134.3,Lab
152.2,137.9,Lab
150.4,138.6,Lab
141.8,130.8,Lab
152.4,138.1,Lab
133.7,121.9,Lab
147.1,136.9,Lab
151.7,138.6,Lab
153.6,141.4,Lab
145.2,132.2,Lab
141.6,124.5,Lab
138.3,125.7,Lab
135.2,119.3,Lab
153.5,140.7,Lab
153.3,139.6,Lab
151.6,139.6,Lab
152.9,138,Lab
147.5,134.8,Lab
141.9,124.4,Lab
145.9,132.6,Lab
140.3,125.1,Lab
148.5,135.3,Lab
151.4,139.1,Lab
138.6,129.7,Lab
146.4,134.9,Lab
134.3,118.7,Lab
154.1,138.3,Lab
146.4,131.2,Lab
149.4,135.2,Lab
134.7,119.4,Lab
161.7,148.1,Lab
150.3,135.9,Lab
151.2,135.6,Lab
143.5,129.6,Lab
148.3,134.1,Lab
129.2,114.4,Lab
